Alpha ,CL,CD,CDp,CM,X,Y
0,0.2825,0.03764,0.02811,-0.0734,0.7595,1
0.25,0.2815,0.03851,0.02884,-0.0697,0.7465,1
0.5,0.2918,0.03926,0.02944,-0.0676,0.735,1
0.75,0.3315,0.03942,0.02941,-0.0693,0.7262,1
1,0.3106,0.04104,0.03092,-0.0633,0.7141,1
1.25,0.3074,0.04248,0.03223,-0.0599,0.7052,1
1.5,0.3278,0.04331,0.03292,-0.0593,0.6975,1
1.75,0.315,0.04516,0.03467,-0.0551,0.6887,1
2,0.3509,0.04557,0.03493,-0.0561,0.6815,1
2.25,0.3355,0.04753,0.03681,-0.0519,0.672,1
2.5,0.362,0.04815,0.0373,-0.0517,0.6632,1
2.75,0.3711,0.04939,0.03844,-0.05,0.6542,1
3,0.377,0.05087,0.03984,-0.0481,0.6459,1
3.25,0.3994,0.05178,0.04067,-0.0478,0.6384,1
3.5,0.3985,0.05381,0.04262,-0.0458,0.6319,1
3.75,0.4057,0.05551,0.04428,-0.0446,0.6254,1
4,0.4304,0.05668,0.04538,-0.0447,0.6199,1
4.25,0.4148,0.05951,0.04818,-0.0422,0.6146,1
4.5,0.4322,0.06104,0.04967,-0.0419,0.6089,1
4.75,0.44,0.06306,0.05166,-0.0411,0.6034,1
5,0.4344,0.06567,0.05424,-0.0397,0.5991,1
5.25,0.4393,0.06805,0.0566,-0.0391,0.5963,1
5.5,0.4339,0.07114,0.05969,-0.0385,0.5982,1
5.75,0.4367,0.07427,0.06281,-0.0386,0.6034,1
6,0.3291,0.08259,0.07131,-0.0374,0.7206,1
6.25,0.3474,0.08471,0.0734,-0.0379,0.7132,1
6.5,0.3633,0.08719,0.07585,-0.0383,0.7089,1
6.75,0.3685,0.08842,0.07707,-0.0373,0.7005,1
7,0.3951,0.09153,0.08017,-0.0389,0.6962,1
7.25,0.3917,0.09246,0.0811,-0.0371,0.6894,1
7.5,0.4117,0.09489,0.08353,-0.0379,0.6831,1
7.75,0.4217,0.09699,0.08563,-0.0377,0.678,1
8,0.4357,0.09885,0.0875,-0.0377,0.6689,1
8.25,0.4493,0.10131,0.08997,-0.038,0.6638,1
8.5,0.4587,0.10289,0.09158,-0.0376,0.655,1
8.75,0.4835,0.10636,0.09507,-0.039,0.6504,1
9,0.4841,0.10717,0.09591,-0.0377,0.64,1
9.25,0.5035,0.11024,0.09902,-0.0386,0.6348,1
9.5,0.5099,0.11159,0.10043,-0.038,0.6246,1
9.75,0.5209,0.114,0.10288,-0.0381,0.6179,1
10,0.5375,0.11633,0.10528,-0.0385,0.6085,1
10.25,0.5415,0.11818,0.10717,-0.0381,0.6004,1
10.5,0.567,0.12156,0.11063,-0.0393,0.5923,1
10.75,0.5647,0.12279,0.11191,-0.0384,0.5826,1
11,0.5974,0.12742,0.11666,-0.0402,0.5761,1